movie_id	title	genre	tag
1	Toy Story (1995)	['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']	"['pixar', 'pixar', 'pixar', 'animation', 'pixar', 'animated', 'fun', 'toy', 'toys', 'pixar', 'rated-g', 'pixar', 'pixar', 'national film registry', 'time travel', 'pixar', 'pixar', 'funny', 'imdb top 250', 'animation', 'very good', 'ya boy', 'pixar', 'time travel', 'animation', ""erlend's dvds"", 'cgi', 'disney', 'family', 'pixar', 'toys', 'bright', 'daring rescues', 'fanciful', 'heroic mission', 'humorous', 'light', 'rousing', 'toys come to life', 'unlikely friendships', 'warm', 'witty', 'pixar', 'the boys', 'almost favorite', 'é˜®ä¸€é¸£', 'animation', 'children', 'disney', 'pixar', 'clever', 'want to see again', 'cartoon', 'disney', '3d', 'computer animation', 'disney animated feature', 'pixar animation', 'want', 'buddy movie', 'animation', 'pixar', 'tim allen', 'tom hanks', 'animation', 'disney', 'pixar', 'toys', 'computer animation', 'cartoon', 'pixar', 'animation', 'computer animation', 'pixar', 'toys', ""tumey's to see again"", ""tumey's vhs"", 'classic', 'disney', 'engaging', 'avi', 'buy', 'action figure', 'action figures', 'buzz lightyear', 'cg animation', 'toy', 'toys', 'woody', 'disney', 'pixar', 'tim allen', 'tom hanks', 'animation', 'pixar', 'animation', 'kids movie', 'pixar', 'tim allen', 'time travel', 'animation', 'cgi', 'adventure', 'animation', 'children', 'comedy', 'animation', 'pixar', 'lots of heart', 'animation', 'pixar', 'adventure', 'animation', 'comedy', 'family', 'fantasy', 'john lasseter', 'usa', 'animation', 'disney', 'pixar', 'classic', 'pixar', 'first cgi film', 'animation', 'disney', 'disney', 'animation', 'pixar', 'pixar', 'pixar', 'animation', 'disney', 'villian hurts toys', 'pixar', 'computer animation', 'pixar', 'animated', 'cgi', 'comedy']"
2	Jumanji (1995)	['Adventure', 'Children', 'Fantasy']	['for children', 'game', 'animals', 'joe johnston', 'robin williams', 'robin williams', 'time travel', 'animals', 'board game', 'fantasy', 'robin williams', 'robin williams', 'adapted from:book', 'board game', 'childhood recaptured', 'game', 'herds of cgi animals', 'scary', 'see also:zathura', 'time', 'time travel', 'board game', 'saturn award (best special effects)', 'saturn award (best supporting actress)', 'lebbat', 'filmed in bc', 'children', 'fantasy', 'robin williams', 'jungle', 'robin williams', 'animals', 'fantasy', 'monkey', 'kid flick', 'fantasy', 'kirsten dunst', 'robin williams', 'robin williams']
3	Grumpier Old Men (1995)	['Comedy', 'Romance']	['funniest movies', 'comedinha de velhinhos engraã§ada', 'moldy', 'old', 'grun running', 'moldy', 'old', 'comedinha de velhinhos engraãƒâ§ada', 'old people that is actually funny', 'sequel fever', 'jack lemmon', 'walter matthau']
4	Waiting to Exhale (1995)	['Comedy', 'Drama', 'Romance']	['girl movie']
5	Father of the Bride Part II (1995)	['Comedy']	"['steve martin', 'pregnancy', 'remake', 'steve martin', 'family', 'pregnancy', 'wedding', 'fantasy', 'childhood classics', ""it thought it was funny but it wasn't"", 'watched under duress', 'worst movies ever', 'sequel fever', 'family', 'sequel', 'wedding', 'childhood classics', 'steve martin']"
6	Heat (1995)	['Action', 'Crime', 'Thriller']	"[""can't remember"", 'setting:la', 'who cares dvds', 'overrated', 'vontatott', 'imdb top 250', 'bibliothek', '1', 'long', 'recommendz top pick', 'atmospheric', 'bleak', 'slick', 'somber', 'tense', 'visceral', 'witty', 'overrated', 'top 10 ever', 'want', 'guns', ""can't remember"", 'owned', ""tumey's dvds"", 'too long', 'overrated', 'al pacino', 'robert de niro', 'in the nucleus', 'clearplay', 'r', 'need to own', 'ending lame', 'recommendz top pick', 'overrated', 'al and robert', 'too long']"
7	Sabrina (1995)	['Comedy', 'Romance']	['based on a play', 'greg kinnear', 'remake', 'remake', 'remake', 'relationships', 'romance', 'remadeas:sabrina(1995)', 'remakeof:sabrina(1954)', 'upstairs-downstairs', 'remake', 'romance', 'sexuality', 'greg kinnear', 'romance', 'harrison ford', 'chick flick', 'remake', 'romance']
8	Tom and Huck (1995)	['Adventure', 'Children']	['adapted from:book', 'author:mark twain']
9	Sudden Death (1995)	['Action']	"[""can't remember"", 'jean-claude van damme']"
10	GoldenEye (1995)	['Action', 'Adventure', 'Thriller']	"['franchise', 'bond', 'seen more than once', 'sean bean dies', 'best of the brosnon bonds', 'bond', 'i wanted the bad guy to win.  sean bean out-bonds bond.', '007', 'bond', ""it's a good movie but the end of 007 is always the same"", 'bond', '007 (series)', 'assassin', 'killer as protagonist', 'murder', 'owned', 'james bond', ""tumey's dvds"", 'action', 'adventure', 'james bond', '007', 'bond', 'espionage', 'good dialogue', 'bond', 'james bond', 'pierce brosnan', '007', 'bond', 'tank chase scene', '007', 'james bond', 'its an ok movie if you like  james bound.', 'bond', 'bond', 'bond', '007', 'bond', 'boys with toys', 'gadgets', 'secret service', 'sequel', 'spies', 'violence', '007', 'bond', '007', 'bond', 'james bond', '007', 'james bond', 'bond']"
11	American President, The (1995)	['Comedy', 'Drama', 'Romance']	['girlie movie', 'politics', 'dvd collection', 'politics', 'president', '23.03.06', 'bibliothek', 'seen', 'cute', 'seen more than once', 'drama', 'romance', 'amazing kung fu', 'decent flick', 'president', 'us president', 'white house', 'president', 'aaron sorkin']
12	Dracula: Dead and Loving It (1995)	['Comedy', 'Horror']	['mel brooks', 'spoof', 'gothic', 'vampire']
13	Balto (1995)	['Animation', 'Children']	['ei muista', 'dogsled', 'sort of boring']
14	Nixon (1995)	['Drama']	"['5', 'biopic', 'biography', 'historical opinion', 'anthony hopkins', 'drama', 'based on a true story', 'biographical', 'cinematographer:robert richardson', 'politics', 'president', 'own', 'biopic', 'character based on real person:richard nixon', 'us president', ""tumey's vhs"", 'oliver stone', 'president', 'oliver stone', 'wooohoo', 'political drama']"
15	Cutthroat Island (1995)	['Action', 'Adventure', 'Romance']	['pirates', 'pirates', 'pirate']
16	Casino (1995)	['Crime', 'Drama']	"['based on a book', 'imdb top 250', 'cinematographer:robert richardson', 'mafia', 'mafia', 'deniro', 'gangster', 'pesci', 'vegas', 'on dvr', 'martin scorsese', 'cult film', 'mafia', 'robert de niro', 'scorcese', 'based on a book', 'bibliothek', 'mafia', 'narrated', 'martin scorsese', 'martin scorsese', 'masterpiece', 'martin scorsese', ""eric's dvds"", 'nudity (rear)', 'nudity (topless - brief)', '20060407', 'robert de niro', 'scorcese', 'divx1', 'martin scorsese', 'las vegas', 'martin scorsese', 'mob', 'mafia', ""tumey's dvds"", 'mafia', 'cannibalism', 'robert deniro', 'martin scorsese', 'watch', 'martin scorsese', 'robert de niro', 'mafia', 'non-fiction', 'de niro in pink', 'violent', 'need to own', 'complex', 'goodfellas ii']"
17	Sense and Sensibility (1995)	['Comedy', 'Drama', 'Romance']	"['ang lee', 'jane austen', 'british', 'jane austen', 'jane austen', 'historical', 'literature', 'jane austen', 'chick flick', 'hulu', 'boring', 'nothing happens', 'jane austen', 'british', 'bibliothek', 'emma thompson', 'jane austen', 'based on a book', 'chick flick', 'great screenplays', 'historical', 'literature', 'emma thompson', 'kate winslet', 'based on a book', 'british', 'jane austen', 'great adaptations', 'great screenplays', 'english', 'romance', 'adapted from:book', 'author:jane austen', 'alan rickman', 'jane austen', 'based on a book', 'jane austen', 'period', 'regency england', 'jane austen', 'based on a book', 'british', 'classic', 'jane austen', 'british', 'shakespeare', ""sven's to see list"", 'jane austen']"
18	Four Rooms (1995)	['Comedy', 'Drama', 'Thriller']	"['tarantino', 'tarantino', 'own', 'tarantino', 'nudity (topless)', 'nudity (topless)', 'alexandre rockwell', 'allison anders', 'rodriguez', 'tarantino', '4', 'tarantino', ""tumey's vhs"", 'quentin tarantino', 'robert rodriguez', 'multiple storylines', 'comedy', 'drama', 'thriller', 'tarantino', 'quentin tarantino', 'robert rodriguez', 'corpse in the bed', 'tarantino']"
19	Ace Ventura: When Nature Calls (1995)	['Comedy']	['not my kind of comedy', 'jim carrey', 'jim carrey', 'steve oedekerk', 'comedy', 'jim carrey', 'jim carrey', 'not my kind of comedy', 'jim carrey', 'rhino action :d', 'jim carrey', 'not my kind of comedy', 'africa', 'crazy', 'hehehe', 'jim carrey', 'one of the worst movies of all time']
20	Money Train (1995)	['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']	['intense', 'lame', 'afternoon section', 'nudity (topless - brief)', 'money', 'worthwhile', 'lopez']
21	Get Shorty (1995)	['Action', 'Comedy', 'Drama']	['hollywood', 'travolta', 'hollywood', 'owned', 'mafia', 'satire:hollywood insiders', 'john travolta', 'getting old but still excellent', 'john travolta', 'watch', 'gene hackman', 'crime', 'mob', 'hollywood', 'foqam', 'funny!', 'gene hackman', 'hilarious!', 'hollywood', 'john travolta', 'mafia', 'satire', 'satire:hollywood insiders']
22	Copycat (1995)	['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']	['serial killer', 'serial killer', 'serial killer', 'serial killer', 'serial killer']
23	Assassins (1995)	['Action', 'Crime', 'Thriller']	['afternoon section', '2.5', 'divx1', 'kill']
